School-High,School-Elementary,School-Alternative,School-Junior High/Middle,School-College or University,School-K-12,School-Other Facility
Rainier Beach,Amazing Grace,Secondary Learning,Dimmit,City University,Renton Christian,Admin
Lakeside High,St. Matthew,Hazel Wolf,Lakeside Middle,North Seattle College,Shoreline Christian,Transportation
Inglemoor,Moorlands,Environmental and Adventure,Finn Hill,Bastyr,Cedar Park Christian,Transportation
Chief Sealth,Arbor Heights,Louisa Boren,Exlplorer West,South Seattle College,Seattle Christian,Admin
Eastlake,Margaret Mead,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Eastlake,Louisa May Alcott,Tesla STEM,Inglewood,Lake Washington IT,Bear Creek,Admin
Federal Way,Mirror Lake,Federal Way Public Academy,Lakota,Green R Coll - Auburn,Christian Faith,Admin
Mount Rainier,St. Philomena,Big Picture,Pacific,Highline College,Mountain View,Transportation
New Start,White Center Heights,Arts & Academics Academy,Cascade,SSC Georgetown,Renton Christian,Highline Arts
Tahoma High,Rock Creek,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Sammamish,Lake Hills,Jubilee REACH,Robinswood,Bellevue College,Bear Creek,Mot
U Prep,Wedgewood,Thornton Creek,Nathan Eckstein,North Seattle College,Shoreline Christian,Transportation
Bothell,Westhill,Soreson,Kenmore Jr High,Cascadia,Cedar Park Christian,Aldercrest Learning Center
Eastlake,Margaret Mead,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Ballard,Adams,Salmon Bay,Whitman,Seattle Pacific U,Bush,Stadium/Athletic Office
West Seattle,Holy Rosary,Pathfinder,James Madison,South Seattle College,Bush,John Stanford Center
Cedarcrest,Cherry Valley,Eagle Rock,Timbercrest,Lake Washington IT,Bear Creek,Admin
Roosevelt,Waldorf Kindergarten,Cascadia,Alexander Hamilton Intl,WA Academy of Languages,Bush,Stadium/Athletic Office
Auburn,Valley Christian,Phoenix Academy,Olympic,Green R Coll - Auburn,Internet Academy,Admin Center
Federal Way,Wildwood,Truman Campus,Sacajawea,Highline College,Holy Innocents,Federal Way Memorial Field
Blanchet,Olympic View,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Transportation
Rainier Beach,Lakeridge,Orca,Islander,Renton Tech,Renton Christian,Admin
Mountainview,Lea Hill,Phoenix Academy,Rainier,GRC,Muckleshoot Tribal,Admin Center
Mountainview,Horizon,Phoenix Academy,Rainier,GRC,Muckleshoot Tribal,Admin
Kent-Meridian,Martin Sortun ,Phoenix Academy,Meridian,GRC,Mountain View,Admin
Auburn,Washington,Open Doors,Olympic,Green R Coll - Auburn,Internet Academy,Admin Annex
Seattle Prep ,Frantz Coe,Queen Anne,Worth McClure,Seattle Pacific U,Bush,Stadium/Athletic Office
Holy Names,Lowell,Seattle World,Edmond S. Meany,Cornish College Kerry Hall,Bush,Stadium/Athletic Office
U Prep,Sacajawea,Thornton Creek,Nathan Eckstein,North Seattle College,Shoreline Christian,Transportation
Redmond High,Albert Einstein,Transition Academy,Redmond Middle,Lake Washington IT,Bear Creek,Support Service Center
Issaquah High,Issaquah Valley,Gibson Ek,Issaquah Middle,Bellevue College,Renton Christian,Admin
