counts,id
64,7129300520.0
152,6414100192.0
22,5631500400.0
43,2487200875.0
12,1954400510.0
6,7237550310.0
12,1321400060.0
101,
9,2414600126.0
36,3793500160.0
186,1736800520.0
18,9212900260.0
12,114101516.0
197,6054650070.0
384,1175000570.0
9,9297300055.0
528,1875500060.0
17,6865200140.0
12,16000397.0
279,7983200060.0
64,6300500875.0
15,2524049179.0
12,7137970340.0
9,8091400200.0
17,3814700200.0
629,1202000200.0
593,1794500383.0
236,3303700376.0
24,5101402488.0
15,1873100390.0
108,8562750320.0
261,2426039314.0
211,461000390.0
2,7589200193.0
259,7955080270.0
39,9547205180.0
379,9435300030.0
18,2768000400.0
18,7895500070.0
13,2078500320.0
20,5547700270.0
3,7766200013.0
613,7203220400.0
13,9270200160.0
6,1432701230.0
8,8035350320.0
43,8945200830.0
256,4178300310.0
14,9215400105.0
23,822039084.0
12,5245600105.0
176,7231300125.0
240,7518505990.0
295,3626039271.0
339,4217401195.0
5,9822700295.0
5,9478500640.0
18,2799800710.0
11,7922800400.0
21,8079040320.0
22,1516000055.0
20,9558200045.0
320,5072410070.0
547,9528102996.0
494,1189001180.0
39,3253500160.0
23,3394100030.0
5,3717000160.0
46,1274500060.0
58,1802000060.0
27,1525059190.0
112,1049000060.0
11,8820901275.0
10,5416510140.0
15,3444100400.0
25,3276920270.0
68,4036801170.0
268,2391600320.0
10,6300000287.0
10,1531000030.0
11,5104520400.0
175,7437100340.0
8,9418400240.0
126,1523059105.0
609,1133000671.0
15,4232902595.0
16,2599001200.0
15,3342103156.0
59,1332700270.0
8,3869900162.0
285,2791500270.0
12,5036300431.0
169,4168000060.0
169,6021501535.0
85,6021501535.0
15,1483300570.0
8,3422049190.0
1,1099611230.0
1,722079104.0
631,7338200240.0
251,1952200240.0
7,5200100125.0
40,7214720075.0
12,2450000295.0
4,6197800045.0
187,1328310370.0
7,546000875.0
11,3530510041.0
27,1853000400.0
15,3134100116.0
307,9545230140.0
11,3362400511.0
194,2525310310.0
243,6126500060.0
309,
46,3626039325.0
80,3362400431.0
489,4060000240.0
16,3454800060.0
35,1695900060.0
252,7278700070.0
91,6675500070.0
21,3626039187.0
34,3524049083.0
58,3275860240.0
3,4389200955.0
356,4058801670.0
5,8732020310.0
15,2331300505.0
13,
19,3668000070.0
235,9545240070.0
12,1243100136.0
12,8929000270.0
25,2767602356.0
133,921049315.0
236,3655000070.0
634,4027700812.0
20,3992700335.0
14,2767603505.0
200,4232901525.0
13,1777500060.0
9,1432900240.0
643,6140100875.0
5,6071600370.0
12,1526069017.0
296,809001525.0
297,3224079105.0
572,8075400570.0
12,1994200024.0
19,3362900810.0
256,1324300398.0
13,537000445.0
17,7855801670.0
8,7920100045.0
9,8960000030.0
2,6388930390.0
39,8731900200.0
36,8029200135.0
14,1081200350.0
34,84000105.0
1,3756500060.0
40,7215720160.0
10,3574800520.0
12,2617300160.0
36,2558660270.0
71,2009000370.0
32,1836980160.0
8,3261020370.0
35,1755700060.0
48,4330600435.0
11,9542800700.0
588,1999700045.0
521,1762600070.0
585,1687900520.0
9,7234600798.0
134,3881900445.0
21,2254502445.0
91,5437810320.0
32,9158100075.0
9,3830630310.0
20,8123100045.0
49,3127200041.0
8,6661200320.0
13,11510310.0
656,825059270.0
55,8731951370.0
36,1954440060.0
13,2264500350.0
28,1115810060.0
46,9477200200.0
54,1432600560.0
12,2287000060.0
265,3663500060.0
143,3996900125.0
6,7796450200.0
7,7549802535.0
14,3278600320.0
6,2824079053.0
168,1222069094.0
8,3542300060.0
11,2222059065.0
24,7551300060.0
323,100600550.0
20,3211100860.0
269,
12,9526600140.0
276,7465900060.0
13,1222000055.0
19,6300000550.0
