precincts,id
S3,7129300520.0
L1,6414100192.0
L1,5631500400.0
W3,2487200875.0
R3,1954400510.0
L3,7237550310.0
S3,1321400060.0
F3,
S3,2414600126.0
R3,3793500160.0
U1,1736800520.0
L1,9212900260.0
R3,114101516.0
B2,6054650070.0
W1,1175000570.0
L3,9297300055.0
J3,1875500060.0
S3,6865200140.0
S3,16000397.0
N3,7983200060.0
S2,6300500875.0
S3,2524049179.0
S3,7137970340.0
S3,8091400200.0
S3,3814700200.0
Q2,1202000200.0
C2,1794500383.0
U1,3303700376.0
L3,5101402488.0
S3,1873100390.0
N1,8562750320.0
B3,2426039314.0
B3,461000390.0
S3,7589200193.0
U1,7955080270.0
L3,9547205180.0
J2,9435300030.0
S3,2768000400.0
S3,7895500070.0
R3,2078500320.0
F3,5547700270.0
L3,7766200013.0
Q2,7203220400.0
S3,9270200160.0
L3,1432701230.0
S3,8035350320.0
C3,8945200830.0
U1,4178300310.0
W3,9215400105.0
S3,822039084.0
S3,5245600105.0
B2,7231300125.0
B1,7518505990.0
U2,3626039271.0
U2,4217401195.0
S3,9822700295.0
S3,9478500640.0
R3,2799800710.0
S3,7922800400.0
F3,8079040320.0
S3,1516000055.0
F3,9558200045.0
U1,5072410070.0
G1,9528102996.0
O1,1189001180.0
R3,3253500160.0
S3,3394100030.0
S3,3717000160.0
C3,1274500060.0
L3,1802000060.0
L1,1525059190.0
L2,1049000060.0
S3,8820901275.0
S3,5416510140.0
R3,3444100400.0
R3,3276920270.0
W2,4036801170.0
N3,2391600320.0
S3,6300000287.0
S3,1531000030.0
S3,5104520400.0
SE,7437100340.0
S3,9418400240.0
L1,1523059105.0
W,1133000671.0
S3,4232902595.0
S3,2599001200.0
S3,3342103156.0
W3,1332700270.0
S3,3869900162.0
Q1,2791500270.0
S3,5036300431.0
B2,4168000060.0
B2,6021501535.0
R1,6021501535.0
S3,1483300570.0
S3,3422049190.0
S3,1099611230.0
S3,722079104.0
C1,7338200240.0
B3,1952200240.0
L1,5200100125.0
R3,7214720075.0
S3,2450000295.0
S3,6197800045.0
B2,1328310370.0
S3,546000875.0
L3,3530510041.0
L3,1853000400.0
S3,3134100116.0
J1,9545230140.0
S3,3362400511.0
S1,2525310310.0
N2,6126500060.0
J1,
S3,3626039325.0
S3,3362400431.0
R1,4060000240.0
N1,3454800060.0
L1,1695900060.0
N2,7278700070.0
S2,6675500070.0
L3,3626039187.0
G3,3524049083.0
S3,3275860240.0
W3,4389200955.0
J1,4058801670.0
S3,8732020310.0
S3,2331300505.0
L3,
S3,3668000070.0
B2,9545240070.0
S3,1243100136.0
S3,8929000270.0
L1,2767602356.0
L2,921049315.0
B2,3655000070.0
Q3,4027700812.0
R3,3992700335.0
S3,2767603505.0
N1,4232901525.0
R3,1777500060.0
L3,1432900240.0
D1,6140100875.0
S3,6071600370.0
S3,1526069017.0
N,809001525.0
B3,3224079105.0
J2,8075400570.0
S3,1994200024.0
R3,3362900810.0
U1,1324300398.0
S3,537000445.0
S3,7855801670.0
S3,7920100045.0
S3,8960000030.0
S3,6388930390.0
F3,8731900200.0
L3,8029200135.0
R3,1081200350.0
L1,84000105.0
S3,3756500060.0
L3,7215720160.0
S3,3574800520.0
R3,2617300160.0
L3,2558660270.0
N1,2009000370.0
F3,1836980160.0
S3,3261020370.0
N1,1755700060.0
L3,4330600435.0
R3,9542800700.0
G1,1999700045.0
O1,1762600070.0
G1,1687900520.0
S3,7234600798.0
N1,3881900445.0
S3,2254502445.0
SW,5437810320.0
L3,9158100075.0
S3,3830630310.0
L3,8123100045.0
L3,3127200041.0
S3,6661200320.0
R3,11510310.0
J3,825059270.0
L3,8731951370.0
L3,1954440060.0
S3,2264500350.0
R3,1115810060.0
